image_name,english_caption,yoruba_caption
2591603141_33d6397e0a.jpg,A dog on a beach,Ajá kan wà ní etí òkun
1277743944_f4e8c78403.jpg,A boy wearing a red sweater runs along a colorful beach.,Ọmọkùnrin kan tí ó wọ́ súwẹ́tà pupa ń sáré lẹ́gbẹ̀ẹ́ etí òkun aláwọ̀
2629346153_155ba73ae9.jpg,A German Shepherd bites the arm of a man who has on protective gear.,Ajá Ẹ̀yà ti Jamaní kan ń bu apá ọkùnrin kan tí ó wọ́ aṣọ ìdábòòbò
3594029059_cee1f4c59a.jpg,A bird flies through the air with wings extended.,Ẹyẹ kan ń fò nínú afẹ́fẹ́ pẹ̀lú ìyẹ̀ rẹ̀ tí ó gbòòrò.
3368865171_597d51cdd5.jpg,Person in shirt riding unicycle while crowd watches.,Ènìyàn kan ninu aṣọ ń gùn kẹ̀kẹ́ ẹlesẹ̀ kan nígbà tí àwọn ọpọ èrò ń wò ó
324355356_859988a710.jpg,Two brown dogs running in a grassy field.,Àwọn ajá méjì aláwọ̀ búráwùn ń sáré ní pápá koríko.
260828892_7925d27865.jpg,woman walking on sand leaving footprints.,"Obìnrin kan ń rìn lórí iyanrìn, tó sì ń fi ipa ẹsẹ̀ sílẹ̀."
1303727828_d1052ee341.jpg,A man in a feather hat looking down.,Ọkùnrin kan tí ó wọ fìlà oníyẹ̀ ń wo isalẹ.
260231029_966e2f1727.jpg,two dogs playing on a sandy beach.,Àwọn ajá méjì ń ṣeré ní etí òkun oníyanrin.
501699433_f8df386cf9.jpg,Kids swimming underwater in the pool.,Àwọn ọmọ ń wẹ̀ lábẹ́ omi inú adágún-ìwẹ̀
3439128755_84409b8823.jpg,Two dogs fetching an object in a field.,Àwọn ajá méjì ń lọ mú nǹkan lórí pápá.
434938585_fbf913dfb4.jpg,A photo of a smiling young woman in front of tables on the street.,Àwòrán ọ̀dọ́ obìnrin tó ń rẹ́rìn-ín níwájú àwọn tábìlì lórí òpópónà.
3040575300_0e4328d205.jpg,Two surfers perform tricks in the waves.,Àwọn olùgùn méjì ń dárà lórí ìgbín omi.
1448511770_1a4a9c453b.jpg,A white dog catches a Frisbee in a jumping pool .,Ajá funfun kan mú Frisbee nínú adágún onífífò.
3451345621_fe470d4cf8.jpg,A man with a cowboy hat and an anti-tax sign.,Ọkùnrin kan tó wọ́ fila akẹtẹ pelú àmì ìlòdì sí owó-orí.
3684680947_f1c460242f.jpg,A child carring something in their shirt walks in the rain on the street.,Ọmọ kan tó pa nnkan mọ sínú ṣẹ́ẹ̀tì rẹ̀ ń rìn lórí òpópónà nígbà tí òjò ń rọ̀.
3459419203_cd7c68ce4d.jpg,A girl wearing blue water googles is being splashed in the face with water by a fellow swimmer.,"Ọmọbìnrin tó lo ìgò tí omi aláwọ̀-búlù sí ojú rẹ̀, ẹlomíì tó ń wẹ̀ ta omi sí i lára."
1622619190_d0b51aff28.jpg,Lean dog trots through a sunny park in front of a chain link fence.,Ajá tinútinú kan ń sare rínrìn ní ọgbà ìsinmi tí oorun ń ràn níwájú ògiri ẹ̀rọ irin.
3424605029_53078d3505.jpg,The boy and girl are playing on the outdoor gym.,Ọmọkùnrin àti ọmọbìnrin náà ń ṣeré ní ibi eré amúlò-ara títa.
1969573381_5ecfae4c80.jpg,A tan and white dog standing near green plants.,Ajá aláwọ̀ pẹ̀lú aláwọ̀ funfun dúró lẹ́gbẹ̀ẹ́ àwọn ọ̀gbìn aláwọ̀ ewé.
1347519824_e402241e4f.jpg,Three woman with statue of liberty hats and taking a picture.,Àwọn obìnrin mẹ́ta tí wọn wọ́ fila Statue of Liberty ń ya fọ́tò.
3182570190_48214e54c7.jpg,A giant billboard of a man 's abs.,Àfísọ́nà ńlá kan ti ìgẹ̀ ọkùnrin.
3028561714_83fb921067.jpg,The white and brown dog runs across the grass.,Ajá funfun àti búráwun sáré kọjá lórí koríko.
2796801478_8ebd7e550b.jpg,A skateboarder performs tricks on a ramp in front of a wall with graffiti.,Afí skateboard ṣeré kan ń darà lórí ránpù níwájú ògiri tí a kọ̀wé graffiti sí.
2855594918_1d1e6a6061.jpg,One man in an orange shirt wearing a white helmet is riding a bike.,Ọkùnrin kan nínú aṣọ àláwọ̀ ọmi-ọsàn tó wọ ìdàborí funfun ń gùn kẹ̀kẹ́.
2258951972_92763fddab.jpg,Two large gray dogs running through a grassy field.,Àwọn ajá ńlá aláwọ̀ érú méjì ń sare kọjá lorí pápákò oní koríko.
2619454551_c4bb726a85.jpg,A brightly colored bird and a small dog.,Ẹyẹ aláwọ̀ to pupa gan-an àti ajá kékeré kan.
3577309234_c952c2af86.jpg,A grey bird is flying through the trees.,Ẹyẹ aláwọ̀ érú ń fò láàrín àwọn igi.
3369258147_03db257f0f.jpg,A person in a baseball cap and jeans resting on a brown couch.,Eniyan kan tó wọ fila eré aláfigigbá àti jíìnì ń sinmi lórí àga aláwọ̀ búráwùn.
3549006919_3604bc813e.jpg,a man wearing a yellow helmet climbing the side of a large rock wall.,Ọkùnrin tó wọ́ àdàborí aláwọ̀ èsúúrú ń gùn ẹ̀gbẹ́ ogiri apata ńlá.
3103231330_db98b14501.jpg,The man in the blue jacket is walking in a crowd of people past an English pub.,Ọkùnrin tó wọ́ jakẹ́ẹ̀tì búlúù ń rìn ní àárín àwọn ènìyàn lẹ́gbẹ̀ẹ́ ilé ìtura Gẹ̀ẹ́sì kan.
303795791_98ebc1d19a.jpg,Two dogs run on the grass.,Àwọn ajá méjì ń sáré lórí koríko.
3195040792_a03954a19f.jpg,"Three dogs jump , run and play in the snowy landscape.","Àwọn ajá mẹ́ta ń fò, ń sare, tí wọ́n sì ń ṣeré ní ibi tí yinyin bò."
3625049113_554d82c2a1.jpg,A young man does tricks on a ramp.,Ọ̀dọ́mọkùnrin kan ń dára lórí ránpù.
